LSOA11CD,LSOA11NM,BUASD11CD,BUASD11NM,BUA11CD,BUA11NM,LAD11CD,LAD11NM,LAD11NMW,RGN11CD,RGN11NM,RGN11NMW,ObjectId
E01012254,Stockton-on-Tees 012E,E35001498,Stockton-on-Tees BUASD,E34004802,Teesside BUA,E06000004,Stockton-on-Tees,,E12000001,North East,,11861
E01012631,Blackburn with Darwen 006B,E35000757,Blackburn BUASD,E34004557,Blackburn BUA,E06000008,Blackburn with Darwen,,E12000002,North West,,12141
E01012855,Kingston upon Hull 029D,E35001335,Kingston upon Hull BUASD,E34004839,Kingston upon Hull BUA,E06000010,"Kingston upon Hull, City of",,E12000003,Yorkshire and The Humber,,12414
E01013002,East Riding of Yorkshire 041D,E35000692,Goole BUASD,E34004857,Goole BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12466
E01013136,North East Lincolnshire 002A,E35001320,Grimsby BUASD,E34004917,Grimsby BUA,E06000012,North East Lincolnshire,,E12000003,Yorkshire and The Humber,,12508
E01013092,East Riding of Yorkshire 032F,E35000549,Brough BUASD,E34004944,Brough (East Riding of Yorkshire) BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12728
E01013037,East Riding of Yorkshire 019B,,,E34000313,Beverley BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12739
E01013041,East Riding of Yorkshire 019D,,,E34000313,Beverley BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12743
E01012827,Kingston upon Hull 011D,E35001335,Kingston upon Hull BUASD,E34004839,Kingston upon Hull BUA,E06000010,"Kingston upon Hull, City of",,E12000003,Yorkshire and The Humber,,12785
E01013204,North East Lincolnshire 019A,E35001320,Grimsby BUASD,E34004917,Grimsby BUA,E06000012,North East Lincolnshire,,E12000003,Yorkshire and The Humber,,12908
E01013814,Nottingham 022B,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13252
E01013811,Nottingham 018B,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13325
E01013996,Herefordshire 016A,,,E34004334,Hereford BUA,E06000019,"Herefordshire, County of",,E12000005,West Midlands,,13347
E01013885,Nottingham 002E,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13437
E01013864,Nottingham 014A,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13544
E01014151,Telford and Wrekin 014B,E35001307,Telford BUASD,E34004622,Telford BUA,E06000020,Telford and Wrekin,,E12000005,West Midlands,,13687
E01015231,Torbay 014B,E35001318,Paignton BUASD,E34004813,Paignton/Torquay BUA,E06000027,Torbay,,E12000009,South West,,14727
E01015283,Bournemouth 017A,E35001146,Bournemouth BUASD,E34005031,Bournemouth/Poole BUA,E06000028,Bournemouth,,E12000009,South West,,15006
E01015383,Poole 007D,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E06000029,Poole,,E12000009,South West,,15068
E01015439,Poole 008B,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E06000029,Poole,,E12000009,South West,,15130
E01015446,Poole 012B,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E06000029,Poole,,E12000009,South West,,15137
E01015316,Bournemouth 014A,E35001146,Bournemouth BUASD,E34005031,Bournemouth/Poole BUA,E06000028,Bournemouth,,E12000009,South West,,15158
E01015918,Southend-on-Sea 017E,E35000390,Southend-on-Sea BUASD,E34005046,Southend-on-Sea BUA,E06000033,Southend-on-Sea,,E12000006,East of England,,15256
E01015821,Southend-on-Sea 005B,E35000390,Southend-on-Sea BUASD,E34005046,Southend-on-Sea BUA,E06000033,Southend-on-Sea,,E12000006,East of England,,15330
E01015728,Luton 019B,E35000963,Luton BUASD,E34004983,Luton BUA,E06000032,Luton,,E12000006,East of England,,15361
E01015855,Southend-on-Sea 015E,E35000390,Southend-on-Sea BUASD,E34005046,Southend-on-Sea BUA,E06000033,Southend-on-Sea,,E12000006,East of England,,15546
E01016233,Bracknell Forest 007B,E35001242,Bracknell BUASD,E34004707,Greater London BUA,E06000036,Bracknell Forest,,E12000008,South East,,15636
E01016460,Slough 007E,E35001353,Slough BUASD,E34004940,Slough BUA,E06000039,Slough,,E12000008,South East,,15743
E01016377,Reading 017C,E35001501,Reading BUASD,E34004640,Reading BUA,E06000038,Reading,,E12000008,South East,,15833
E01016565,Windsor and Maidenhead 011B,,,E34003482,Datchet BUA,E06000040,Windsor and Maidenhead,,E12000008,South East,,16114
E01017392,Central Bedfordshire 013B,E35000443,Clifton (Central Bedfordshire) BUASD,E34004780,Shefford BUA,E06000056,Central Bedfordshire,,E12000006,East of England,,16836
E01017578,Central Bedfordshire 026A,E35000573,Houghton Regis BUASD,E34004983,Luton BUA,E06000056,Central Bedfordshire,,E12000006,East of England,,16872
E01017555,Central Bedfordshire 021A,,,E34003354,Leighton Buzzard BUA,E06000056,Central Bedfordshire,,E12000006,East of England,,17145
E01017801,South Bucks 001F,,,E34002872,Beaconsfield BUA,E07000006,South Bucks,,E12000008,South East,,17239
E01017833,South Bucks 006D,E35000948,Taplow BUASD,E34004560,Maidenhead BUA,E07000006,South Bucks,,E12000008,South East,,17360
E01017844,Wycombe 017B,E35001210,High Wycombe BUASD,E34004704,High Wycombe BUA,E07000007,Wycombe,,E12000008,South East,,17446
E01019156,Barrow-in-Furness 004A,,,E34003078,Barrow-in-Furness BUA,E07000027,Barrow-in-Furness,,E12000002,North West,,18658
E01019903,East Devon 006D,,,,,E07000040,East Devon,,E12000009,South West,,19259
E01019938,East Devon 001B,,,,,E07000040,East Devon,,E12000009,South West,,19293
E01020073,Mid Devon 009B,,,E34001666,Lapford BUA,E07000042,Mid Devon,,E12000009,South West,,19327
E01020117,North Devon 003C,,,E34002653,Ilfracombe BUA,E07000043,North Devon,,E12000009,South West,,19398
E01020143,South Hams 006B,,,,,E07000044,South Hams,,E12000009,South West,,19424
E01020260,Teignbridge 011D,E35000065,Shaldon BUASD,E34004878,Teignmouth BUA,E07000045,Teignbridge,,E12000009,South West,,19660
E01020475,Purbeck 002E,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E07000051,Purbeck,,E12000009,South West,,19811
E01020176,South Hams 002D,,,E34000341,South Brent BUA,E07000044,South Hams,,E12000009,South West,,19828
E01020296,Torridge 005D,,,,,E07000046,Torridge,,E12000009,South West,,19835
E01020549,West Dorset 011D,,,E34003065,Martinstown BUA,E07000052,West Dorset,,E12000009,South West,,19892
E01020403,East Dorset 004A,,,E34000353,St Leonards BUA,E07000049,East Dorset,,E12000009,South West,,19940
E01020832,County Durham 063C,,,E34002689,Newton Aycliffe BUA,E06000047,County Durham,,E12000001,North East,,20201
E01021279,Basildon 010E,E35001284,Basildon BUASD,E34004645,Basildon BUA,E07000066,Basildon,,E12000006,East of England,,20488
E01021306,Basildon 013E,E35001284,Basildon BUASD,E34004645,Basildon BUA,E07000066,Basildon,,E12000006,East of England,,20521
E01021632,Chelmsford 011B,E35001288,Chelmsford BUASD,E34004924,Chelmsford BUA,E07000070,Chelmsford,,E12000006,East of England,,20817
E01021602,Chelmsford 018B,,,,,E07000070,Chelmsford,,E12000006,East of England,,20826
E01021686,Colchester 011D,E35001357,Colchester BUASD,E34005048,Colchester BUA,E07000071,Colchester,,E12000006,East of England,,20918
E01021483,Castle Point 004C,,,,,E07000069,Castle Point,,E12000006,East of England,,20992
E01021446,Brentwood 009B,,,E34002063,West Horndon BUA,E07000068,Brentwood,,E12000006,East of England,,21019
E01021768,Epping Forest 001A,,,,,E07000072,Epping Forest,,E12000006,East of England,,21136
E01021670,Colchester 002C,E35001357,Colchester BUASD,E34005048,Colchester BUA,E07000071,Colchester,,E12000006,East of England,,21165
E01021677,Colchester 010D,E35000929,Marks Tey BUASD,E34005048,Colchester BUA,E07000071,Colchester,,E12000006,East of England,,21175
E01021806,Epping Forest 009A,,,,,E07000072,Epping Forest,,E12000006,East of England,,21423
E01023498,East Hertfordshire 006A,,,E34004072,Puckeridge BUA,E07000097,East Hertfordshire,,E12000006,East of England,,22833
E01023446,East Hertfordshire 007D,,,E34001711,Bishop's Stortford BUA,E07000097,East Hertfordshire,,E12000006,East of England,,22920
E01023583,Hertsmere 004C,,,E34004230,Shenley BUA,E07000098,Hertsmere,,E12000006,East of England,,22936
E01023604,North Hertfordshire 010D,E35001499,Hitchin BUASD,E34004783,Hitchin BUA,E07000099,North Hertfordshire,,E12000006,East of England,,23176
E01023624,North Hertfordshire 014D,,,,,E07000099,North Hertfordshire,,E12000006,East of England,,23196
E01023891,Watford 002B,E35000012,Watford BUASD,E34004707,Greater London BUA,E07000103,Watford,,E12000006,East of England,,23449
E01023893,Watford 002D,E35000012,Watford BUASD,E34004707,Greater London BUA,E07000103,Watford,,E12000006,East of England,,23490
E01023907,Watford 001D,E35000012,Watford BUASD,E34004707,Greater London BUA,E07000103,Watford,,E12000006,East of England,,23519
E01023925,Welwyn Hatfield 011B,,,E34002252,Essendon BUA,E07000104,Welwyn Hatfield,,E12000006,East of England,,23537
E01024907,Burnley 010D,E35000498,Burnley BUASD,E34004743,Burnley BUA,E07000117,Burnley,,E12000002,North West,,24331
E01025321,Ribble Valley 005A,,,E34000556,Chatburn BUA,E07000124,Ribble Valley,,E12000002,North West,,24463
E01025076,Hyndburn 007C,E35000814,Oswaldtwistle BUASD,E34004905,Accrington/Rossendale BUA,E07000120,Hyndburn,,E12000002,North West,,24479
E01025232,Preston 013B,E35001250,Preston BUASD,E34005039,Preston BUA,E07000123,Preston,,E12000002,North West,,24613
E01025487,West Lancashire 004E,E35000969,Burscough BUASD,E34004935,Burscough BUA,E07000127,West Lancashire,,E12000002,North West,,24984
E01025518,West Lancashire 007E,,,E34002061,Ormskirk BUA,E07000127,West Lancashire,,E12000002,North West,,25019
E01026255,South Holland 008B,,,E34003565,Long Sutton (South Holland) BUA,E07000140,South Holland,,E12000004,East Midlands,,25228
E01026259,South Holland 005C,,,,,E07000140,South Holland,,E12000004,East Midlands,,25232
E01026144,Lincoln 003B,E35001451,Lincoln BUASD,E34005030,Lincoln BUA,E07000138,Lincoln,,E12000004,East Midlands,,25363
E01026229,North Kesteven 011B,,,E34003071,Sleaford BUA,E07000139,North Kesteven,,E12000004,East Midlands,,25433
E01026006,Boston 003A,,,E34004383,Boston BUA,E07000136,Boston,,E12000004,East Midlands,,25581
E01026008,Boston 001B,,,E34003067,Freiston BUA,E07000136,Boston,,E12000004,East Midlands,,25583
E01026018,Boston 007B,,,,,E07000136,Boston,,E12000004,East Midlands,,25593
E01026335,South Kesteven 013B,,,E34000508,Market Deeping BUA,E07000141,South Kesteven,,E12000004,East Midlands,,25814
E01026385,West Lindsey 005A,,,,,E07000142,West Lindsey,,E12000004,East Midlands,,25815
E01026400,West Lindsey 009D,,,E34001990,Scampton Airfield BUA,E07000142,West Lindsey,,E12000004,East Midlands,,25906
E01026973,Corby 004B,E35001263,Corby BUASD,E34004788,Corby BUA,E07000150,Corby,,E12000004,East Midlands,,26083
E01027099,Kettering 008D,E35001167,Kettering BUASD,E34004967,Kettering BUA,E07000153,Kettering,,E12000004,East Midlands,,26314
E01027280,South Northamptonshire 008B,,,E34002981,Deanshanger BUA,E07000155,South Northamptonshire,,E12000004,East Midlands,,26483
E01027290,South Northamptonshire 011B,,,E34004440,Croughton BUA,E07000155,South Northamptonshire,,E12000004,East Midlands,,26493
E01028167,Gedling 006D,E35000779,Arnold BUASD,E34004946,Nottingham BUA,E07000173,Gedling,,E12000004,East Midlands,,27334
E01028096,Broxtowe 014E,E35001323,Beeston (Broxtowe) BUASD,E34004946,Nottingham BUA,E07000172,Broxtowe,,E12000004,East Midlands,,27391
E01028295,Newark and Sherwood 005A,,,E34000833,Bilsthorpe BUA,E07000175,Newark and Sherwood,,E12000004,East Midlands,,27418
E01028297,Newark and Sherwood 005B,,,E34000833,Bilsthorpe BUA,E07000175,Newark and Sherwood,,E12000004,East Midlands,,27420
E01028037,Bassetlaw 015D,,,E34001555,Tuxford BUA,E07000171,Bassetlaw,,E12000004,East Midlands,,27506
E01028063,Bassetlaw 014D,E35001286,Worksop BUASD,E34004671,Worksop BUA,E07000171,Bassetlaw,,E12000004,East Midlands,,27532
E01028658,South Oxfordshire 006F,,,E34002587,Clifton Hampden BUA,E07000179,South Oxfordshire,,E12000008,South East,,27629
E01028588,Oxford 011G,E35001441,Oxford BUASD,E34004572,Oxford BUA,E07000178,Oxford,,E12000008,South East,,27854
E01028600,South Oxfordshire 007A,,,E34003241,Benson BUA,E07000179,South Oxfordshire,,E12000008,South East,,27863
E01028610,South Oxfordshire 007E,,,E34000959,Chalgrove BUA,E07000179,South Oxfordshire,,E12000008,South East,,27873
E01028727,Vale of White Horse 015B,,,E34001547,Harwell BUA,E07000180,Vale of White Horse,,E12000008,South East,,27984
E01028521,Oxford 008A,E35001441,Oxford BUASD,E34004572,Oxford BUA,E07000178,Oxford,,E12000008,South East,,27996
E01028733,Vale of White Horse 002A,E35000309,Kennington BUASD,E34004572,Oxford BUA,E07000180,Vale of White Horse,,E12000008,South East,,28012
E01028788,West Oxfordshire 006A,,,E34004372,Eynsham BUA,E07000181,West Oxfordshire,,E12000008,South East,,28032
E01028910,Shropshire 003A,,,,,E06000051,Shropshire,,E12000005,West Midlands,,28237
E01029964,Ipswich 009B,E35001281,Ipswich BUASD,E34004730,Ipswich BUA,E07000202,Ipswich,,E12000006,East of England,,28912
E01030081,Mid Suffolk 005D,E35000296,Stowupland BUASD,E34004865,Stowmarket BUA,E07000203,Mid Suffolk,,E12000006,East of England,,29343
E01029983,Ipswich 016F,E35001281,Ipswich BUASD,E34004730,Ipswich BUA,E07000202,Ipswich,,E12000006,East of England,,29441
E01030011,Ipswich 005E,E35001281,Ipswich BUASD,E34004730,Ipswich BUA,E07000202,Ipswich,,E12000006,East of England,,29476
E01030247,Waveney 007A,,,E34004315,Lowestoft BUA,E07000206,Waveney,,E12000006,East of England,,29526
E01031014,North Warwickshire 003F,E35001215,Atherstone BUASD,E34004986,Atherstone BUA,E07000218,North Warwickshire,,E12000005,West Midlands,,30090
E01031023,North Warwickshire 004A,,,E34003998,Curdworth BUA,E07000218,North Warwickshire,,E12000005,West Midlands,,30102
E01031028,North Warwickshire 007D,,,,,E07000218,North Warwickshire,,E12000005,West Midlands,,30107
E01031245,Stratford-on-Avon 014C,,,,,E07000221,Stratford-on-Avon,,E12000005,West Midlands,,30464
E01031193,Stratford-on-Avon 015A,,,,,E07000221,Stratford-on-Avon,,E12000005,West Midlands,,30538
E01031215,Stratford-on-Avon 015D,,,E34002010,Shipston-on-Stour BUA,E07000221,Stratford-on-Avon,,E12000005,West Midlands,,30725
E01032218,Malvern Hills 010D,,,,,E07000235,Malvern Hills,,E12000005,West Midlands,,31210
E01032357,Wychavon 004A,E35001228,Droitwich BUASD,E34004685,Droitwich BUA,E07000238,Wychavon,,E12000005,West Midlands,,31275
E01032146,Bromsgrove 005B,E35000954,Major's Green BUASD,E34005001,West Midlands BUA,E07000234,Bromsgrove,,E12000005,West Midlands,,31592
E01032780,Tower Hamlets 028I,E35001078,Tower Hamlets BUASD,E34004707,Greater London BUA,E09000030,Tower Hamlets,,E12000007,London,,31712
E01032553,Middlesbrough 018H,E35001385,Middlesbrough BUASD,E34004802,Teesside BUA,E06000002,Middlesbrough,,E12000001,North East,,31946
E01033059,Bromsgrove 012D,E35000326,Bromsgrove BUASD,E34004991,Bromsgrove BUA,E07000234,Bromsgrove,,E12000005,West Midlands,,32010
E01032887,Sandwell 018E,E35001491,West Bromwich BUASD,E34005001,West Midlands BUA,E08000028,Sandwell,,E12000005,West Midlands,,32055
E01033101,Wandsworth 004F,E35000095,Wandsworth BUASD,E34004707,Greater London BUA,E09000032,Wandsworth,,E12000007,London,,32123
E01033153,Waltham Forest 020G,E35001151,Waltham Forest BUASD,E34004707,Greater London BUA,E09000031,Waltham Forest,,E12000007,London,,32399
E01033394,Newark and Sherwood 012G,E35000480,Farndon (Newark and Sherwood) BUASD,E34004948,Newark-on-Trent BUA,E07000175,Newark and Sherwood,,E12000004,East Midlands,,32493
E01033407,Nottingham 039F,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,32544
E01033720,Colchester 002F,E35001357,Colchester BUASD,E34005048,Colchester BUA,E07000071,Colchester,,E12000006,East of England,,32558
E01033583,Newham 013G,E35001394,Newham BUASD,E34004707,Greater London BUA,E09000025,Newham,,E12000007,London,,32586
E01033282,Oxford 008E,E35001441,Oxford BUASD,E34004572,Oxford BUA,E07000178,Oxford,,E12000008,South East,,32604
E01033595,Westminster 013E,E35000546,City of Westminster BUASD,E34004707,Greater London BUA,E09000033,Westminster,,E12000007,London,,32656
E01033604,Westminster 009J,E35000546,City of Westminster BUASD,E34004707,Greater London BUA,E09000033,Westminster,,E12000007,London,,32665
W01000150,Conwy 005B,W38000010,Kinmel Bay BUASD,W37000381,Kinmel Bay/Abergele BUA,W06000003,Conwy,Conwy,W92000004,Wales,Cymru,32840
E01033752,Liverpool 062B,E35001470,Liverpool BUASD,E34004801,Liverpool BUA,E08000012,Liverpool,,E12000002,North West,,32954
W01000190,Conwy 014D,,,W37000374,Cerrigydrudion BUA,W06000003,Conwy,Conwy,W92000004,Wales,Cymru,33002
W01000234,Denbighshire 017G,W38000112,Rhyl BUASD,W37000407,Rhyl/Prestatyn BUA,W06000004,Denbighshire,Sir Ddinbych,W92000004,Wales,Cymru,33034
W01000312,Flintshire 011B,W38000096,Sandycroft BUASD,W37000386,Buckley BUA,W06000005,Flintshire,Sir y Fflint,W92000004,Wales,Cymru,33076
W01000015,Isle of Anglesey 008C,,,W37000291,Llanfair Pwllgwyngyll BUA,W06000001,Isle of Anglesey,Ynys MÂn,W92000004,Wales,Cymru,33080
